Name of the Material/Component,Quantity,Reference Link,Additional Note
Raspberry Pi 4 Model B (8GB),1,https://amzn.in/d/fDcGRsL,
Raspberry Pi 5Mp AGP Gddr3 Camera Board Module,1,https://amzn.in/d/0T89yMt,
64GB MicroSD card,1,https://amzn.in/d/7aJMwv1,
Raspberry Pi Power Adapter,1,https://amzn.in/d/6OXWg2R,
Ultrasonic sensor,1,https://amzn.in/d/03m6ue9,HC-SR04
Servo motors,2,https://amzn.in/d/2dOWHOu,SG90
5V Power Adapter,1,https://amzn.in/d/8BedmrP,
Mini Breadboard,2,https://amzn.in/d/05ApbKt,
Jumper wires,,,
